config,model_name,alpha,threshold,sensitivity,specificity,youden_j,auc
Full Questionnaire,Elastic Net,0.12646153846153846,0.3894440453955516,0.8947368421052632,0.9097744360902256,0.8045112781954886,0.9440838939453898
Full Questionnaire,Elastic Net,0.1468717948717949,0.3894440453955516,0.8947368421052632,0.9097744360902256,0.8045112781954886,0.9440838939453898
Full Questionnaire,Elastic Net,0.1672820512820513,0.3894440453955516,0.8947368421052632,0.9097744360902256,0.8045112781954886,0.9440838939453898
Full Questionnaire,Elastic Net,0.18769230769230769,0.2175447096774642,0.9052631578947369,0.8195488721804511,0.7248120300751881,0.9440838939453898
Full Questionnaire,Elastic Net,0.2081025641025641,0.1990880584259799,0.9105263157894737,0.793233082706767,0.7037593984962407,0.9440838939453898
Full Questionnaire,Elastic Net,0.2285128205128205,0.1990880584259799,0.9105263157894737,0.793233082706767,0.7037593984962407,0.9440838939453898
Full Questionnaire,Elastic Net,0.2489230769230769,0.1990880584259799,0.9105263157894737,0.793233082706767,0.7037593984962407,0.9440838939453898
Full Questionnaire,Elastic Net,0.2693333333333333,0.1990880584259799,0.9105263157894737,0.793233082706767,0.7037593984962407,0.9440838939453898
Full Questionnaire,Elastic Net,0.28974358974358977,0.1366412266466904,0.9157894736842105,0.7293233082706767,0.6451127819548872,0.9440838939453898
Full Questionnaire,Elastic Net,0.31015384615384617,0.1231992630530799,0.9210526315789473,0.6954887218045113,0.6165413533834587,0.9440838939453898
Full Questionnaire,Elastic Net,0.33056410256410257,0.1231992630530799,0.9210526315789473,0.6954887218045113,0.6165413533834587,0.9440838939453898
Full Questionnaire,Elastic Net,0.35097435897435897,0.1115182385232355,0.9263157894736842,0.6578947368421053,0.5842105263157895,0.9440838939453898
Full Questionnaire,Elastic Net,0.37138461538461537,0.1054485050375328,0.9315789473684211,0.6353383458646616,0.5669172932330828,0.9440838939453898
Full Questionnaire,Elastic Net,0.3917948717948718,0.0977893367275917,0.9421052631578948,0.6127819548872181,0.554887218045113,0.9440838939453898
Full Questionnaire,Elastic Net,0.4122051282051282,0.0977893367275917,0.9421052631578948,0.6127819548872181,0.554887218045113,0.9440838939453898
Full Questionnaire,Elastic Net,0.4326153846153846,0.0977893367275917,0.9421052631578948,0.6127819548872181,0.554887218045113,0.9440838939453898
Full Questionnaire,Elastic Net,0.453025641025641,0.0977893367275917,0.9421052631578948,0.6127819548872181,0.554887218045113,0.9440838939453898
Full Questionnaire,Elastic Net,0.4734358974358974,0.0977893367275917,0.9421052631578948,0.6127819548872181,0.554887218045113,0.9440838939453898
Full Questionnaire,Elastic Net,0.4938461538461538,0.078724831498814,0.9473684210526315,0.5075187969924813,0.4548872180451129,0.9440838939453898
Full Questionnaire,Elastic Net,0.5142564102564102,0.078724831498814,0.9473684210526315,0.5075187969924813,0.4548872180451129,0.9440838939453898
Full Questionnaire,Elastic Net,0.5346666666666666,0.078724831498814,0.9473684210526315,0.5075187969924813,0.4548872180451129,0.9440838939453898
Full Questionnaire,Elastic Net,0.5550769230769231,0.0701612552503285,0.9578947368421052,0.45864661654135336,0.41654135338345855,0.9440838939453898
Full Questionnaire,Elastic Net,0.5754871794871795,0.0671850585826668,0.9631578947368421,0.4323308270676692,0.39548872180451133,0.9440838939453898
Full Questionnaire,Elastic Net,0.5958974358974359,0.0671850585826668,0.9631578947368421,0.4323308270676692,0.39548872180451133,0.9440838939453898
Full Questionnaire,Elastic Net,0.6163076923076923,0.0671850585826668,0.9631578947368421,0.4323308270676692,0.39548872180451133,0.9440838939453898
Full Questionnaire,Elastic Net,0.6367179487179487,0.0565173037916025,0.968421052631579,0.3684210526315789,0.33684210526315783,0.9440838939453898
Full Questionnaire,Elastic Net,0.6571282051282051,0.0514161143976469,0.9842105263157894,0.34962406015037595,0.3338345864661654,0.9440838939453898
Full Questionnaire,Elastic Net,0.6775384615384615,0.0486714237010147,0.9894736842105263,0.3308270676691729,0.3203007518796992,0.9440838939453898
Full Questionnaire,Elastic Net,0.6979487179487179,0.0461693583368966,0.9947368421052631,0.3157894736842105,0.31052631578947354,0.9440838939453898
Full Questionnaire,Elastic Net,0.7183589743589743,0.0461693583368966,0.9947368421052631,0.3157894736842105,0.31052631578947354,0.9440838939453898
Full Questionnaire,Elastic Net,0.7387692307692307,0.0461693583368966,0.9947368421052631,0.3157894736842105,0.31052631578947354,0.9440838939453898
Full Questionnaire,Elastic Net,0.7591794871794871,0.0389121072914847,1.0,0.24812030075187969,0.24812030075187974,0.9440838939453898
Full Questionnaire,Elastic Net,0.7795897435897436,0.0389121072914847,1.0,0.24812030075187969,0.24812030075187974,0.9440838939453898
Full Questionnaire,Elastic Net,0.8,0.0389121072914847,1.0,0.24812030075187969,0.24812030075187974,0.9440838939453898
Full Questionnaire,LDA,0.004,0.9967358030704884,0.42105263157894735,0.9962406015037594,0.4172932330827068,0.9369311436485951
Full Questionnaire,LDA,0.02441025641025641,0.8298862737493341,0.8631578947368421,0.9774436090225563,0.8406015037593986,0.9369311436485951
Full Questionnaire,LDA,0.04482051282051282,0.6923910648087707,0.868421052631579,0.9624060150375939,0.8308270676691729,0.9369311436485951
Full Questionnaire,LDA,0.06523076923076923,0.5695663112815682,0.8842105263157894,0.9360902255639098,0.8203007518796992,0.9369311436485951
Full Questionnaire,LDA,0.08564102564102564,0.4547992397647445,0.8894736842105263,0.9172932330827067,0.806766917293233,0.9369311436485951
Full Questionnaire,LDA,0.10605128205128206,0.4547992397647445,0.8894736842105263,0.9172932330827067,0.806766917293233,0.9369311436485951
Full Questionnaire,LDA,0.12646153846153846,0.4547992397647445,0.8894736842105263,0.9172932330827067,0.806766917293233,0.9369311436485951
Full Questionnaire,LDA,0.1468717948717949,0.2017742869806952,0.8947368421052632,0.8721804511278195,0.7669172932330826,0.9369311436485951
Full Questionnaire,LDA,0.1672820512820513,0.2017742869806952,0.8947368421052632,0.8721804511278195,0.7669172932330826,0.9369311436485951
Full Questionnaire,LDA,0.18769230769230769,0.2017742869806952,0.8947368421052632,0.8721804511278195,0.7669172932330826,0.9369311436485951
Full Questionnaire,LDA,0.2081025641025641,0.2017742869806952,0.8947368421052632,0.8721804511278195,0.7669172932330826,0.9369311436485951
Full Questionnaire,LDA,0.2285128205128205,0.0293276189011468,0.9,0.7744360902255639,0.674436090225564,0.9369311436485951
Full Questionnaire,LDA,0.2489230769230769,0.0184557830065847,0.9052631578947369,0.7593984962406015,0.6646616541353385,0.9369311436485951
Full Questionnaire,LDA,0.2693333333333333,0.0124501439550751,0.9105263157894737,0.7406015037593985,0.6511278195488721,0.9369311436485951
Full Questionnaire,LDA,0.28974358974358977,0.0109851736308305,0.9157894736842105,0.7142857142857143,0.6300751879699247,0.9369311436485951
Full Questionnaire,LDA,0.31015384615384617,0.0109851736308305,0.9157894736842105,0.7142857142857143,0.6300751879699247,0.9369311436485951
Full Questionnaire,LDA,0.33056410256410257,0.0079871209822179,0.9263157894736842,0.6729323308270677,0.5992481203007518,0.9369311436485951
Full Questionnaire,LDA,0.35097435897435897,0.0079871209822179,0.9263157894736842,0.6729323308270677,0.5992481203007518,0.9369311436485951
Full Questionnaire,LDA,0.37138461538461537,0.0079871209822179,0.9263157894736842,0.6729323308270677,0.5992481203007518,0.9369311436485951
Full Questionnaire,LDA,0.3917948717948718,0.0079871209822179,0.9263157894736842,0.6729323308270677,0.5992481203007518,0.9369311436485951
Full Questionnaire,LDA,0.4122051282051282,0.0079871209822179,0.9263157894736842,0.6729323308270677,0.5992481203007518,0.9369311436485951
Full Questionnaire,LDA,0.4326153846153846,0.0079871209822179,0.9263157894736842,0.6729323308270677,0.5992481203007518,0.9369311436485951
Full Questionnaire,LDA,0.453025641025641,0.0079871209822179,0.9263157894736842,0.6729323308270677,0.5992481203007518,0.9369311436485951
Full Questionnaire,LDA,0.4734358974358974,0.0042127178614126,0.9421052631578948,0.5413533834586466,0.48345864661654137,0.9369311436485951
Full Questionnaire,LDA,0.4938461538461538,0.0042127178614126,0.9421052631578948,0.5413533834586466,0.48345864661654137,0.9369311436485951
Full Questionnaire,LDA,0.5142564102564102,0.0042127178614126,0.9421052631578948,0.5413533834586466,0.48345864661654137,0.9369311436485951
Full Questionnaire,LDA,0.5346666666666666,0.0042127178614126,0.9421052631578948,0.5413533834586466,0.48345864661654137,0.9369311436485951
Full Questionnaire,LDA,0.5550769230769231,0.0042127178614126,0.9421052631578948,0.5413533834586466,0.48345864661654137,0.9369311436485951
Full Questionnaire,LDA,0.5754871794871795,0.0029981335039024,0.9473684210526315,0.4398496240601504,0.3872180451127818,0.9369311436485951
Full Questionnaire,LDA,0.5958974358974359,0.0026910669098994,0.9578947368421052,0.41353383458646614,0.37142857142857144,0.9369311436485951
Full Questionnaire,LDA,0.6163076923076923,0.0026910669098994,0.9578947368421052,0.41353383458646614,0.37142857142857144,0.9369311436485951
Full Questionnaire,LDA,0.6367179487179487,0.002428740771189,0.9631578947368421,0.38345864661654133,0.3466165413533835,0.9369311436485951
Full Questionnaire,LDA,0.6571282051282051,0.0022072057883545,0.968421052631579,0.3533834586466165,0.32180451127819554,0.9369311436485951
Full Questionnaire,LDA,0.6775384615384615,0.0020210284982648,0.9736842105263158,0.3383458646616541,0.3120300751879699,0.9369311436485951
Full Questionnaire,LDA,0.6979487179487179,0.0020210284982648,0.9736842105263158,0.3383458646616541,0.3120300751879699,0.9369311436485951
Full Questionnaire,LDA,0.7183589743589743,0.0016213053753087,0.9789473684210527,0.3007518796992481,0.27969924812030067,0.9369311436485951
Full Questionnaire,LDA,0.7387692307692307,0.0016213053753087,0.9789473684210527,0.3007518796992481,0.27969924812030067,0.9369311436485951
Full Questionnaire,LDA,0.7591794871794871,0.0016213053753087,0.9789473684210527,0.3007518796992481,0.27969924812030067,0.9369311436485951
Full Questionnaire,LDA,0.7795897435897436,0.0016213053753087,0.9789473684210527,0.3007518796992481,0.27969924812030067,0.9369311436485951
Full Questionnaire,LDA,0.8,0.0011753799598374,0.9842105263157894,0.21428571428571427,0.19849624060150362,0.9369311436485951
Full Questionnaire,Lasso,0.004,0.9454555153914808,0.34210526315789475,0.9962406015037594,0.33834586466165417,0.9427285318559556
Full Questionnaire,Lasso,0.02441025641025641,0.700543215853307,0.8578947368421053,0.9849624060150376,0.842857142857143,0.9427285318559556
Full Questionnaire,Lasso,0.04482051282051282,0.6265919780335949,0.8631578947368421,0.9586466165413534,0.8218045112781955,0.9427285318559556
Full Questionnaire,Lasso,0.06523076923076923,0.5556650947925985,0.8789473684210526,0.9398496240601504,0.8187969924812029,0.9427285318559556
Full Questionnaire,Lasso,0.08564102564102564,0.5168363940500798,0.8894736842105263,0.9323308270676691,0.8218045112781955,0.9427285318559556
Full Questionnaire,Lasso,0.10605128205128206,0.3828113158572207,0.8947368421052632,0.8984962406015038,0.7932330827067671,0.9427285318559556
Full Questionnaire,Lasso,0.12646153846153846,0.3828113158572207,0.8947368421052632,0.8984962406015038,0.7932330827067671,0.9427285318559556
Full Questionnaire,Lasso,0.1468717948717949,0.3828113158572207,0.8947368421052632,0.8984962406015038,0.7932330827067671,0.9427285318559556
Full Questionnaire,Lasso,0.1672820512820513,0.3828113158572207,0.8947368421052632,0.8984962406015038,0.7932330827067671,0.9427285318559556
Full Questionnaire,Lasso,0.18769230769230769,0.3828113158572207,0.8947368421052632,0.8984962406015038,0.7932330827067671,0.9427285318559556
Full Questionnaire,Lasso,0.2081025641025641,0.2066104822381911,0.9,0.7969924812030075,0.6969924812030075,0.9427285318559556
Full Questionnaire,Lasso,0.2285128205128205,0.1818219925001687,0.9105263157894737,0.7744360902255639,0.6849624060150377,0.9427285318559556
Full Questionnaire,Lasso,0.2489230769230769,0.1818219925001687,0.9105263157894737,0.7744360902255639,0.6849624060150377,0.9427285318559556
Full Questionnaire,Lasso,0.2693333333333333,0.1818219925001687,0.9105263157894737,0.7744360902255639,0.6849624060150377,0.9427285318559556
Full Questionnaire,Lasso,0.28974358974358977,0.1818219925001687,0.9105263157894737,0.7744360902255639,0.6849624060150377,0.9427285318559556
Full Questionnaire,Lasso,0.31015384615384617,0.1234245316383566,0.9210526315789473,0.7030075187969925,0.6240601503759398,0.9427285318559556
Full Questionnaire,Lasso,0.33056410256410257,0.1234245316383566,0.9210526315789473,0.7030075187969925,0.6240601503759398,0.9427285318559556
Full Questionnaire,Lasso,0.35097435897435897,0.1234245316383566,0.9210526315789473,0.7030075187969925,0.6240601503759398,0.9427285318559556
Full Questionnaire,Lasso,0.37138461538461537,0.1234245316383566,0.9210526315789473,0.7030075187969925,0.6240601503759398,0.9427285318559556
Full Questionnaire,Lasso,0.3917948717948718,0.1029500065247779,0.9315789473684211,0.6203007518796992,0.5518796992481203,0.9427285318559556
Full Questionnaire,Lasso,0.4122051282051282,0.0956565138880656,0.9421052631578948,0.5902255639097744,0.5323308270676692,0.9427285318559556
Full Questionnaire,Lasso,0.4326153846153846,0.0956565138880656,0.9421052631578948,0.5902255639097744,0.5323308270676692,0.9427285318559556
Full Questionnaire,Lasso,0.453025641025641,0.0956565138880656,0.9421052631578948,0.5902255639097744,0.5323308270676692,0.9427285318559556
Full Questionnaire,Lasso,0.4734358974358974,0.0956565138880656,0.9421052631578948,0.5902255639097744,0.5323308270676692,0.9427285318559556
Full Questionnaire,Lasso,0.4938461538461538,0.0956565138880656,0.9421052631578948,0.5902255639097744,0.5323308270676692,0.9427285318559556
Full Questionnaire,Lasso,0.5142564102564102,0.0769282998051362,0.9526315789473684,0.48872180451127817,0.4413533834586465,0.9427285318559556
Full Questionnaire,Lasso,0.5346666666666666,0.0769282998051362,0.9526315789473684,0.48872180451127817,0.4413533834586465,0.9427285318559556
